metro_area_name,state_abbreviation,total_population,total_housing_units,occupied_housing_units,vacant_housing_units,percent_occupied,percent_vacant
"Chicago-Naperville-Elgin, IL-IN-WI",IL,9510390,3956161,3670416,285745,92.8,7.2
"Danville, IL",IL,73095,34351,29007,5344,84.4,15.6
"Decatur, IL",IL,102432,49687,43914,5773,88.4,11.6
"Kankakee, IL",IL,106601,45323,41020,4303,90.5,9.5
"Peoria, IL",IL,398473,183489,171067,12422,93.2,6.8
"Rockford, IL",IL,336278,145180,134008,11172,92.3,7.7
"Springfield, IL",IL,207245,98588,89340,9248,90.6,9.4
"Bloomington, IN",IN,161321,73817,65340,8477,88.5,11.5
"Columbus, IN",IN,82475,35507,32518,2989,91.6,8.4
"Elkhart-Goshen, IN",IN,206921,80105,69015,11090,86.2,13.8
"Evansville, IN-KY",IN,313946,142396,132942,9454,93.4,6.6
"Fort Wayne, IN",IN,423038,179321,168833,10488,94.2,5.8
"Indianapolis-Carmel-Anderson, IN",IN,2129479,905629,834540,71089,92.2,7.8
"Kokomo, IN",IN,83687,39743,36530,3213,91.9,8.1
"Lafayette-West Lafayette, IN",IN,224253,96779,88853,7926,91.8,8.2
"Michigan City-La Porte, IN",IN,112390,49853,43445,6408,87.1,12.9
"Muncie, IN",IN,111871,51570,45977,5593,89.2,10.8
"South Bend-Mishawaka, IN-MI",IN,323695,143849,128774,15075,89.5,10.5
"Terre Haute, IN",IN,186369,82370,73024,9346,88.7,11.3
"Lawrence, KS",KS,119363,53301,49759,3542,93.4,6.6
"Manhattan, KS",KS,133932,56731,51018,5713,89.9,10.1
"Topeka, KS",KS,232670,104855,95988,8867,91.5,8.5
"Wichita, KS",KS,647919,277664,250146,27518,90.1,9.9
"Bowling Green, KY",KY,186107,79866,71929,7937,90.1,9.9
"Elizabethtown-Fort Knox, KY",KY,157318,64264,58210,6054,90.6,9.4
"Lexington-Fayette, KY",KY,517846,228736,215613,13123,94.3,5.7
"Louisville/Jefferson County, KY-IN",KY,1284826,565381,522921,42460,92.5,7.5
"Owensboro, KY",KY,122696,52365,48574,3791,92.8,7.2
"Alexandria, LA",LA,150890,67329,55249,12080,82.1,17.9
"Baton Rouge, LA",LA,871905,379467,328816,50651,86.7,13.3
"Hammond, LA",LA,135217,58596,49915,8681,85.2,14.8
"Houma-Thibodaux, LA",LA,206212,88958,82107,6851,92.3,7.7
"Lafayette, LA",LA,479212,215978,187662,28316,86.9,13.1
"Lake Charles, LA",LA,208680,97193,72746,24447,74.8,25.2
"Monroe, LA",LA,204884,94433,80334,14099,85.1,14.9
"New Orleans-Metairie, LA",LA,1261726,576669,507992,68677,88.1,11.9
"Shreveport-Bossier City, LA",LA,389155,181082,155848,25234,86.1,13.9
"Barnstable Town, MA",MA,232411,165542,104733,60809,63.3,36.7
"Boston-Cambridge-Newton, MA-NH",MA,4899932,2048672,1920160,128512,93.7,6.3
"Pittsfield, MA",MA,128657,69985,57765,12220,82.5,17.5
"Springfield, MA",MA,695305,298355,275788,22567,92.4,7.6
"Worcester, MA-CT",MA,978447,403576,379159,24417,93.9,6.1
"Baltimore-Columbia-Towson, MD",MD,2838327,1196208,1117510,78698,93.4,6.6
"California-Lexington Park, MD",MD,114468,46204,42078,4126,91.1,8.9
"Cumberland, MD-WV",MD,94586,45324,40079,5245,88.4,11.6
"Hagerstown-Martinsburg, MD-WV",MD,300820,126471,117803,8668,93.1,6.9
"Salisbury, MD-DE",MD,429223,259303,177002,82301,68.3,31.7
"Bangor, ME",ME,152765,75276,65441,9835,86.9,13.1
"Lewiston-Auburn, ME",ME,111034,50141,46323,3818,92.4,7.6
"Portland-South Portland, ME",ME,556893,284005,237186,46819,83.5,16.5
"Ann Arbor MI Metro, MI",MI,369390,157960,149133,8827,94.4,5.6
"Battle Creek, MI",MI,133819,59553,53482,6071,89.8,10.2
"Bay City, MI",MI,102985,48641,45487,3154,93.5,6.5
"Detroit-Warren-Dearborn, MI",MI,4365205,1907780,1759573,148207,92.2,7.8
"Flint, MI",MI,404208,183568,167895,15673,91.5,8.5
"Grand Rapids-Kentwood, MI",MI,1091620,435966,410413,25553,94.1,5.9
"Jackson, MI",MI,160050,69209,61937,7272,89.5,10.5
"Kalamazoo-Portage, MI",MI,261108,114518,105642,8876,92.2,7.8
"Lansing-East Lansing, MI",MI,540281,236859,220067,16792,92.9,7.1
"Midland, MI",MI,83457,36976,35453,1523,95.9,4.1
"Monroe, MI",MI,155274,66246,61574,4672,92.9,7.1
"Muskegon, MI",MI,176511,74867,67707,7160,90.4,9.6
"Niles, MI",MI,153101,77035,65764,11271,85.4,14.6
"Saginaw, MI",MI,189591,86133,80146,5987,93,7
"Duluth, MN-WI",MN,292285,150938,124996,25942,82.8,17.2
"Mankato, MN",MN,103612,43005,40715,2290,94.7,5.3
"Minneapolis-St. Paul-Bloomington, MN-WI",MN,3690512,1529397,1453400,75997,95,5
"Rochester, MN",MN,227151,98370,90956,7414,92.5,7.5
"St. Cloud, MN",MN,200406,83682,79091,4591,94.5,5.5
"Cape Girardeau, MO-IL",MO,96456,44051,37991,6060,86.2,13.8
"Columbia, MO",MO,212796,93156,84946,8210,91.2,8.8
"Jefferson City, MO",MO,151698,64614,55812,8802,86.4,13.6
"Joplin, MO",MO,182541,78385,69646,8739,88.9,11.1
"Kansas City, MO-KS",MO,2199544,949618,883621,65997,93.1,6.9
"St. Joseph, MO-KS",MO,120274,53595,46798,6797,87.3,12.7
"St. Louis, MO-IL",MO,2806615,1266113,1144111,122002,90.4,9.6
"Springfield, MO",MO,479598,208844,195260,13584,93.5,6.5
"Gulfport-Biloxi, MS",MS,418082,186773,162594,24179,87.1,12.9
"Hattiesburg, MS",MS,172507,73737,66682,7055,90.4,9.6
"Jackson, MS",MS,586758,259901,228001,31900,87.7,12.3
"Billings, MT",MT,187037,84525,77868,6657,92.1,7.9
"Great Falls, MT",MT,84511,39121,34303,4818,87.7,12.3
"Missoula, MT",MT,119533,55484,51957,3527,93.6,6.4
"Asheville, NC",NC,472341,236015,185423,50592,78.6,21.4
"Burlington, NC",NC,173877,75275,69343,5932,92.1,7.9
"Charlotte-Concord-Gastonia, NC-SC",NC,2701046,1139108,1048452,90656,92,8
"Durham-Chapel Hill, NC",NC,654012,288853,263996,24857,91.4,8.6
"Fayetteville, NC",NC,524588,217378,198062,19316,91.1,8.9
"Goldsboro, NC",NC,116835,53038,46932,6106,88.5,11.5
"Greensboro-High Point, NC",NC,778848,341006,307003,34003,90,10
"Greenville, NC",NC,172169,81425,75578,5847,92.8,7.2
"Hickory-Lenoir-Morganton, NC",NC,366441,164922,146600,18322,88.9,11.1
"Jacksonville, NC",NC,206160,85914,73121,12793,85.1,14.9
"New Bern, NC",NC,120508,58607,51021,7586,87.1,12.9
"Raleigh-Cary, NC",NC,1448411,595757,548713,47044,92.1,7.9
"Rocky Mount, NC",NC,143535,66587,56840,9747,85.4,14.6
"Wilmington, NC",NC,291833,147766,127095,20671,86,14
"Winston-Salem, NC",NC,681438,306120,273913,32207,89.5,10.5
"Bismarck, ND",ND,134028,59439,52921,6518,89,11
"Fargo, ND-MN",ND,252136,114419,109997,4422,96.1,3.9
"Grand Forks, ND-MN",ND,103462,48527,43220,5307,89.1,10.9
"Grand Island, NE",NE,76175,31842,30478,1364,95.7,4.3
"Lincoln, NE",NE,343035,145206,138209,6997,95.2,4.8
"Omaha-Council Bluffs, NE-IA",NE,972195,406840,385487,21353,94.8,5.2
"Manchester-Nashua, NH",NH,424079,176649,167899,8750,95,5
"Atlantic City-Hammonton, NJ",NJ,274966,132214,112299,19915,84.9,15.1
"Ocean City, NJ",NJ,95661,99233,48860,50373,49.2,50.8
"Trenton-Princeton, NJ",NJ,385898,150655,143970,6685,95.6,4.4
"Vineland-Bridgeton, NJ",NJ,153627,57204,53883,3321,94.2,5.8
"Albuquerque, NM",NM,921311,398585,376596,21989,94.5,5.5
"Farmington, NM",NM,120993,47980,40844,7136,85.1,14.9
"Las Cruces, NM",NM,221508,91264,85021,6243,93.2,6.8
"Santa Fe, NM",NM,155201,77692,70152,7540,90.3,9.7
"Carson City, NV",NV,58993,24891,23930,961,96.1,3.9
"Las Vegas-Henderson-Paradise, NV",NV,2292476,934911,854289,80622,91.4,8.6
"Reno, NV",NV,496997,214876,199715,15161,92.9,7.1
"Albany-Schenectady-Troy, NY",NY,899286,419705,378258,41447,90.1,9.9
"Binghamton, NY",NY,245220,114803,105514,9289,91.9,8.1
"Buffalo-Cheektowaga, NY",NY,1162336,540365,503845,36520,93.2,6.8
"Elmira, NY",NY,83045,39196,35407,3789,90.3,9.7
"Glens Falls, NY",NY,126574,69245,54582,14663,78.8,21.2
"Ithaca, NY",NY,105162,47369,44469,2900,93.9,6.1
"Kingston, NY",NY,182951,86177,75053,11124,87.1,12.9
"New York-Newark-Jersey City, NY-NJ-PA",NY,19768458,8026716,7347700,679016,91.5,8.5
"Poughkeepsie-Newburgh-Middletown, NY",NY,701637,270854,255736,15118,94.4,5.6
"Rochester, NY",NY,1084973,491857,454044,37813,92.3,7.7
"Syracuse, NY",NY,658281,297131,270350,26781,91,9
"Utica-Rome, NY",NY,290211,137644,118513,19131,86.1,13.9
"Watertown-Fort Drum, NY",NY,116295,61714,48628,13086,78.8,21.2
"Akron, OH",OH,700015,317783,292156,25627,91.9,8.1
"Canton-Massillon, OH",OH,400525,180729,168332,12397,93.1,6.9
